Fehezanteny,Firafitra
"""Tamin'ny voalohany Andriamanitra nahary ny lanitra sy ny tany.""",L EM F F
"""Ary ny fanahin'Andriamanitra nanomba tambonin'ny rano.""",L L EM F
"""Ary Andriamanitra nanao hoe: Misia mazava; dia nisy mazava.""",L EM EM L EM L
"""Ary hitan'Andriamanitra fa tsara ny mazava; ary nampisarahin'Andriamanitra ny mazava sy ny maizina.""",EM L EM L EM L F F
"""Ary Andriamanitra nanao ny mazava hoe andro; ary ny maizina nataony hoe alina.""",L EM F F L EM F
"""Dia nisy hariva, ary nisy maraina, andro voalohany izany.""",EM L EM L F
"""Ary Andriamanitra nanao hoe: Misia habakabaka eo anelanelan'ny rano; ary aoka hampisaraka ny rano amin'ny rano izy.""",L EM EM F L L EM F F L
"""Ary Andriamanitra nanao ny habakabakaka ka nampisaraka ny rano ambanin'ny habakabaka tamin'ny rano ambonin'ny habakabaka; dia nisy izany.""",L EM F EM L F F F EM
"""Ary Andriamanitra nanao ny habakabaka hoe lanitra.""",L EM F F
"""Dia nisy hariva, ary nisy maraina, andro faharoa izany.""",EM L EM L F
"""Ary Andriamanitra nanao hoe : Aoka hiangona ny rano eny ambanin'ny lanitra ho eo amin'ny fitoerana iray, ary aoka hiseho ny maina; dia nisy izany.""",L EM EM L F F EM L EM
"""Ary Andriamanitra nanao ny maina hoe tany; ary ny rano tafangona nataony hoe ranomasina.""",L EM F F L EM EM F
"""Ary hitan'Andriamanitra fa tsara izany.""",EM L
"""Ary Andriamanitra nanao hoe: Aoka ny tany haniry ahitra sy anana mamoa ary hazo fihinam-boa izay mamoa, samy araka ny karazany avy, ka manam-boa ao aminy, eny ambonin'ny tany; dia nisy izany.""",L EM L EM F F F F F F F F EM L F EM
"""Ary ny tany naniry ahitra sy anana mamoa samy araka ny karazany avy, ary hazo mamoa izay manam-boa ao aminy, samy araka ny karazany avy.""",L EM F F F L EM EM L F
"""Dia nisy hariva, ary nisy maraina, andro fahatelo izany.""",EM L EM L F 
"""Ary Andriamanitra nanao hoe: Misia fahazavana eny amin'ny habakabaky ny lanitra hampisaraka ny andro sy ny alina; ary aoka ho famantarana sy ho fotoana ary ho andro sy taona ireo.""",L EM EM L F F F F F F F F F
"""Ary aoka ho fanazavana eny amin'ny habakabaky ny lanitra izy hanazava eny ambonin'ny tany; dia nisy izany.""",EM F F L EM L EM
"""Ary Andriamanitra nanao ny fanazavana roa lehibe, dia ny fanazavana lehibe ho mpanapaka ny andro ary ny fanazavana kely ho mpanapaka ny alina sy ny kintana.""",L EM F L EM F L EM F F
"""Ary Andriamanitra nametraka azy teny amin'ny habakabaky ny lanitra hanazava eny ambonin'ny tany, sy ho mpanapaka ny andro sy ny alina, ary hampisaraka ny mazava sy ny maizina.""",L EM F F F L EM F EM L L EM L L
"""Ary hitan'Andriamanitra fa tsara izany.""",EM L
"""Dia nisy hariva, ary nisy maraina, andro fahefatra izany.""",EM L EM L F
"""Ary Andriamanitra nanao hoe: Aoka ny rano ho be zava-manan'aina; ary aoka hisy vorona hanidina ambonin'ny tany eny amin'ny habakabaky ny lanitra.""",L EM L EM F F F EM L F F F F
"""Ary Andriamanitra nahary ny biby vaventy anaty rano sy ny zava-manan'aina mihetsiketsika rehetra, izay efa betsaka ao amin'ny rano, samy araka ny karazany avy, ary ny voro-manidina rehetra, samy araka ny karazany avy.""",L EM F F F F F F F F F F F F F F F 
"""Ary hitan'Andriamanitra fa tsara izany.""",EM L
"""Ary Andriamanitra nitso-drano azy hoe: Maroa anaka sy mihabetsaha ary mamenoa ny rano ao amin'ny ranomasina; ary aoka ny vorona hihamaro eny ambonin'ny tany.""",L EM EM F EM L EM EM L F L EM F
"""Dia nisy ny hariva, ary nisy maraina, andro fahadimy izany.""",EM L EM L F
"""Ary Andriamanitra nanao hoe: Aoka ny tany hamoaka zava-manan'aina samy araka ny karazany avy, dia biby fiompy sy biby mandady sy mikisaka ary bibi-dia, samy araka ny karazany avy; dia nisy izany.""",L EM L EM F F F F L L L L EM 
"""Ary Andriamanitra nanao ny bibi-dia, samy araka ny karazany avy, sy ny biby fiompy, samy araka ny karazany avy, ary ny biby rehetra izay mandady na mikisaka amin'ny tany, samy araka ny karazany avy.""",L EM F F F F F F F EM EM L F
"""Ary hitan'Andriamanitra fa tsara izany.""",EM L
"""Ary Andriamanitra nanao hoe: Andeha Isika hamorona olona tahaka ny endritsika, araka ny tarehintsika ; ary aoka izy hanjaka amin'ny hazandrano ao amin'ny ranomasina sy ny voro-manidina sy ny biby fiompy sy ny tany rehetra ary ny biby rehetra izay mandady na mikisaka amin'ny tany.""",L EM EM L EM L F F F L EM F F F F F F F EM EM L
"""Ary Andriamanitra nahary ny olona tahaka ny endriny; tahaka ny endrik'Andriamanitra no namoronany azy; lahy sy vavy no namoronany azy.""",L EM F F F F F F EM L F F EM L
"""Ary Andriamanitra nitso-drano azy hoe: Maroa fara sy mihabetsaha ary mamenoa ny tany, ka mampanompoa azy; ary manjaka amin'ny hazandrano ao amin'ny ranomasina sy ny voro-manidina ary ny biby rehetra izay mihetsiketsika ambonin'ny tany.""",L EM EM F EM L EM EM L EM L EM L F F F F EM L
"""Ary Andriamanitra nanao hoe: Indro, efa nomeko anareo ny anana manintsam-boa rehetra izay ambonin'ny tany rehetra ary ny hazo rehetra izay misy voa sady manintsam-boa; dia ho fihinana anareo ireny.""",L EM EM L F F F F F EM L EM L EM L F
"""Ary ny amin'ny bibi-dia rehetra sy ny voro-manidina rehetra ary ny zava-manan'aina rehetra izay mandady na mikisaka amin'ny tany, dia efa nomeko azy ny zava-maitso rehetra ho fihinany; dia nisy izany.""",F F F F F F F EM EM L EM L F F EM EM
"""Ary hitan'Andriamanitra izay rehetra nataony, ary, indro, tsara indrindra izany.""",EM L EM EM F
"""Dia nisy ny hariva, ary nisy maraina, andro fahenina izany.""",EM L EM L F
"""Ary hitan'Andriamanitra izay rehetra nataony, ary, indro, tsara indrindra izany.""",EM L EM EM L
"""Dia nisy ny hariva, ary nisy maraina, andro fahenina izany.""",EM L EM L F
"""Dia vita ny lanitra sy ny tany sy izay rehetra ao aminy.""",EM L L
"""Ary tamin'ny andro fahafito dia vitan'Andriamanitra ny asa efa nataony; ary dia nitsahatra tamin'ny andro fahafito Izy tamin'ny asany rehetra izay efa nataony.""",F EM L F EM EM F L F EM
"""Ary Andriamanitra nitahy ny andro fahafito sy nanamasina azy, satria tamin'izany no nitsaharan'Andriamanitra tamin'ny asany rehetra izay noforoniny tamin'ny nanaovany azy.""",L EM F EM L EM L F EM EM L
"""Ny saha tao Edena, sy ny toetry ny olombelona fony tsy mbola nanota izy.""",L F L L EM EM EM L 
"""Ary izao no tantaran'ny lanitra sy ny tany tamin'ny namoronana azy, dia tamin'ny nanaovan'i Jehovah Andriamanitra ny tany sy ny lanitra: Ny hazo madinika famboly dia tsy mbola nisy teo amin'ny tany, ary ny anana famboly tsy mbola nisy naniry; fa tsy mbola nampilatsaka ranonorana tambonin'ny tany Jehovah Andriamanitra, ary nisy olona hiasa ny tany; nefa nisy zavona niakatra avy tamin'ny tany ka nandena ny tany rehetra.""",F EM L L EM L EM L L F F L L L EM EM EM F L L EM EM EM EM EM EM EM L F F F EM L EM L EM L EM L EM L
"""Ary vovo-tany no namoronan'i Jehovah Andriamanitra ny olona, ary nofofoniny fofonaina mahavelona ny vavorony; dia tonga olombelona izy.""",F F EM L L F EM L EM L EM L F
"""Ary Jehovah Andriamanitra nanao saha tao Edena tany atsinanana, ka napetrany tao ralehilahy izay noforoniny.""",L L EM F F F EM L EM
"""Ary nisy ony nivoaka avy tao Edena handena ny saha; hatreo izy dia nizara ka nisampana efatra: ny anaran'ny voalohany dia Pisona; io no mandeha manodidina ny tany Havila rehetra, izay misy ny volamena; ary tsara ny volamena amin'izany tany izany; any ny bedola sy ny vato beryla.""",EM L L F F EM EM EM L L L F F F F F